"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"customer service manager po polsku",,"also_asks,related_search,snip_breadcrumbs",5,N/A,12,,20,0,0,0,80,https://resumaker.pl/przykładowe-cv/customer-support-manager/
"przykładowe cv kucharza",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,12,0,20,0,0.14,34,90,https://resumaker.pl/przykładowe-cv/doświadczony-kucharz/
"specjalista ds finansowych zakres obowiązków",,"ai_overview,related_search,also_asks,snip_breadcrumbs",5,1,12,,20,0,0,5,92,https://resumaker.pl/przykładowe-cv/specjalista-ds-finansów/
"inżynier motoryzacji",,"related_search,also_asks,ai_overview,snip_breadcrumbs",2,N/A,12,0,20,0,0,0,706000,https://resumaker.pl/przykładowe-cv/inżynier-samochodowy/
"dyspozytor w firmie transportowej",,"also_asks,related_search,ai_overview,snip_breadcrumbs",4,6,12,0,20,0,0,1,39500,https://resumaker.pl/przykładowe-cv/dyspozytor-transportu/
"zrobic cv online",,"related_search,also_asks,pic,snip_breadcrumbs",3,49,12,0,20,0,1.648679,65,3100000,https://resumaker.pl/
"wzór cv magazynier",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs",3,5,12,0,20,0,0.176572,34,7360,https://resumaker.pl/przykładowe-cv/magazynier-selekcjoner/
"wzory cv studenta",,"related_search,pic,also_asks,snip_breadcrumbs",3,N/A,12,0,20,0,0.322915,23,90,https://resumaker.pl/aplikacja/tworzenie/szablony/
"cv jak",,"also_asks,pic,video,ai_overview,related_search,snip_breadcrumbs",2,46,12,0,20,0,0.38,71,107000000,https://resumaker.pl/
"obowiązki zastępcy kierownika sklepu",,"ai_overview,related_search,also_asks,snip_breadcrumbs",4,4,12,0,20,0,0,1,300000,https://resumaker.pl/przykładowe-cv/asystent-kierownika-sklepu-detalicznego/
"architekt chmury",,"ai_overview,also_asks,related_search,snip_breadcrumbs",2,3,12,,20,0,0,11,131,https://resumaker.pl/przykładowe-cv/cloud-architect/
"cv magazynier przykład",,"related_search,ai_overview,pic,also_asks,snip_breadcrumbs",3,N/A,12,0,20,0,9.713116,64,93,https://resumaker.pl/przykładowe-cv/magazynier-selekcjoner/
"edycja cv online",,"also_asks,pic,related_search,snip_breadcrumbs",3,27,12,0,20,0,0.650806,80,526000,https://resumaker.pl/
"asystent dyrektora obowiązki",,"ai_overview,related_search,also_asks,snip_breadcrumbs",3,1,12,0,20,0,0,0,366000,https://resumaker.pl/przykładowe-cv/asystent-dyrektora/
"cv maker po angielsku",,"also_asks,related_search,snip_breadcrumbs",4,29,12,0,10,0,50.273397,80,81000,https://resumaker.pl/
"kierowca cv",,"related_search,also_asks,pic,snip_breadcrumbs",2,8,12,0,10,0,0.080962,34,90,https://resumaker.pl/przykładowe-cv/kierowca-zawodowy/
"cv do pracy na produkcji",,"ai_overview,pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",5,5,12,0,10,0,0,89,1150000,https://resumaker.pl/przykładowe-cv/pracownik-produkcji/
"umiejętności magazyniera cv",,"pic,also_asks,ai_overview,related_search,snip_breadcrumbs",3,5,12,0,10,0,0,0,16500,https://resumaker.pl/przykładowe-cv/pakowacz-magazynowy/
"cv pedagog",,"related_search,pic,snip_breadcrumbs",2,2,12,0,10,0,0,43,198,https://resumaker.pl/przykładowe-cv/pedagog-specjalny/
"jak napisać cv sprzedawca",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,N/A,12,0,10,0,0,27,48800,https://resumaker.pl/przykładowe-cv/sprzedawca-produktow/
"przykładowe cv kelner",,"also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,12,0,10,0,0,52,2630,https://resumaker.pl/przykładowe-cv/kelnerka/
"pomocnik hydraulika kraków",kraków,"also_asks,pic,snip_breadcrumbs",3,1,12,0,10,0,0.025734,39,71,https://resumaker.pl/przykładowe-cv/pomocnik-hydraulika/
"zakres obowiązków pracownika recepcji wzór",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs",5,5,12,0,10,0,0,0,16100,https://resumaker.pl/przykładowe-cv/front-desk-clerk/
"kierownik ds rozwoju",,"ai_overview,also_asks,snip_breadcrumbs",3,1,12,0,10,0,0,2,3260000,https://resumaker.pl/przykładowe-cv/kierownik-ds-rozwoju-sprzedazy/
"cv pracownika",,"also_asks,related_search,pic,snip_breadcrumbs,snip_image_thumbnail",2,12,12,0,10,0,0.173035,58,90,https://resumaker.pl/przykładowe-cv/pracownik-sklepu/
"cv fizjoterapeuty wzór",,"pic,also_asks,related_search,snip_breadcrumbs",3,4,12,0,10,0,0,88,90,https://resumaker.pl/przykładowe-cv/fizjoterapeuta/
"cv maker pl za darmo",,"pic,also_asks,ads_bot,related_search,snip_breadcrumbs",5,62,12,0,10,0,0.517249,63,5710000,https://resumaker.pl/
"cv dla pracownika biurowego",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,N/A,12,0,10,0,0.152519,59,90,https://resumaker.pl/przykładowe-cv/pracownik-biurowy/
"generowanie cv pracuj pl",,"pic,also_asks,related_search,snip_breadcrumbs",4,N/A,12,0,10,0,0.42,95,248000,https://resumaker.pl/
"cv kadrowa",,"related_search,pic,snip_breadcrumbs",2,2,12,0,10,0,0.20939,47,317000,https://resumaker.pl/przykładowe-cv/specjalista/
"wzór cv kucharza",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,12,0,10,0,0,14,27500,https://resumaker.pl/przykładowe-cv/doświadczony-kucharz/
"list motywacyjny praktyki studenckie",,"pic,related_search,snip_breadcrumbs",4,7,12,0,10,0,0,0,10900,https://resumaker.pl/przykładowe-list-motywacyjny/praktykant/
"praca biurowa cv",,"also_asks,related_search,ai_overview,snip_breadcrumbs",3,N/A,12,0,10,0,0.132849,37,472000,https://resumaker.pl/przykładowe-cv/pracownik-biurowy/
"sprzedawca obowiązki cv",,"also_asks,a_box_fsnippet,related_search,snip_breadcrumbs",3,16,12,0,10,0,0,31,112000,https://resumaker.pl/przykładowe-cv/sprzedawca-produktow/
"zainteresowania do cv praca biurowa",,"pic,also_asks,a_box_fsnippet,related_search,snip_breadcrumbs",5,9,12,0,10,0,0.06,17,90,https://resumaker.pl/przykładowe-cv/pracownik-biurowy/
"kierownik działu obsługi klienta zakres obowiązków",,"also_asks,a_box_fsnippet,related_search,snip_breadcrumbs",6,1,12,0,10,0,0,0,100,https://resumaker.pl/przykładowe-cv/customer-service-manager/
"obowiązki sprzedawcy cv",,"ai_overview,also_asks,related_search,a_box_fsnippet,pic,snip_breadcrumbs",3,16,12,0,10,0,0.066849,32,37800,https://resumaker.pl/przykładowe-cv/piekarz-kelner/
"umiejętności fryzjera cv",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs",3,N/A,12,0,10,0,0,0,24000,https://resumaker.pl/przykładowe-cv/fryzjer/
"dyrektor rozwoju",,"related_search,ai_overview,also_asks,snip_breadcrumbs",2,N/A,12,0,10,0,0,1,16100000,https://resumaker.pl/przykładowe-cv/dyrektor-ds-rozwoju-biznesu/
"specjalista ds rozliczeń zakres obowiązków",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs",5,N/A,12,0,10,0,0,0,72,https://resumaker.pl/przykładowe-cv/billing-specjalista/
"cv dla handlowca",,"also_asks,ai_overview,related_search,pic,snip_breadcrumbs",3,N/A,12,0,10,0,0,93,28300,https://resumaker.pl/przykładowe-cv/handlowiec/
"agent ds obsługi pasażerskiej",,"pic,related_search,also_asks,snip_breadcrumbs",4,1,12,0,10,0,0,9,90,https://resumaker.pl/przykładowe-cv/pracownik-obsługi-pasazerskiej/
"curriculum vitae kreator",,"ai_overview,also_asks,snip_breadcrumbs",3,65,13,2,33100,248,0.670623,79,112,https://resumaker.pl/
adiunkta,,"also_asks,pic,related_search,snip_breadcrumbs",1,8,13,-4,5400,40,0,0,90,https://resumaker.pl/przykładowe-cv/adiunkt/
"darmowa cv",,"ai_overview,also_asks,related_search,snip_breadcrumbs",2,63,13,-1,5400,40,23.673482,81,107,https://resumaker.pl/
"stwórz cv",,"also_asks,video,related_search,snip_breadcrumbs",2,50,13,0,2400,17,0.834065,75,117,https://resumaker.pl/
"przykładowy list motywacyjny",,"also_asks,pic,related_search,snip_breadcrumbs",3,39,13,,1000,7,0.03279,12,90,https://resumaker.pl/przykładowe-list-motywacyjny/pobierajacy/
"kreator cv za darmo bez logowania",,"also_asks,ai_overview,related_search,snip_breadcrumbs",6,36,13,,1000,7,14.234136,73,106,https://resumaker.pl/
"bezpłatny kreator cv",,"also_asks,related_search,ai_overview,snip_breadcrumbs",3,44,13,,390,2,0.632048,67,114,https://resumaker.pl/
"cv online creator",,"pic,related_search,snip_breadcrumbs",3,49,13,0,320,2,41.302288,64,16800000,https://resumaker.pl/
"formularze cv",,"related_search,pic,snip_breadcrumbs",2,46,13,0,320,2,13.199615,60,716000,https://resumaker.pl/
fabrykant,,"related_search,kn_graph_local,pic,also_asks,video,ai_overview,snip_breadcrumbs",1,1,13,0,320,2,0,0,71500,https://resumaker.pl/przykładowe-list-motywacyjny/fabrykant/
"podanie do dyrektora szpitala",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs",4,3,13,0,170,1,0,0,249000,https://resumaker.pl/przykładowe-list-motywacyjny/dyrektor-ds-medycznych/
"cv kelnera",,"related_search,also_asks,pic,snip_breadcrumbs",2,13,13,4,170,1,0.203669,16,90,https://resumaker.pl/przykładowe-cv/pracownik-obsługi-restauracji/
"pracownicy administracji",,"related_search,ai_overview,also_asks,snip_breadcrumbs",2,N/A,13,0,140,1,1.998875,2,23600000,https://resumaker.pl/przykładowe-cv/administracja-kancelaria/
"technik programista sql",,"related_search,also_asks,video,snip_breadcrumbs",3,N/A,13,0,140,1,0.275349,4,70,https://resumaker.pl/przykładowe-cv/programista-sql/
"cv za darmo kreator",,"also_asks,related_search,snip_breadcrumbs",4,44,13,0,140,1,0.694702,83,102,https://resumaker.pl/
"szablon na cv",,"pic,also_asks,related_search,snip_breadcrumbs",3,46,13,0,140,1,15.343453,91,90,https://resumaker.pl/
"podanie o pracę do szpitala",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs",5,8,13,0,110,0,5.139022,2,855000,https://resumaker.pl/przykładowe-list-motywacyjny/szpitalnik/
"cv po angielsku kreator za darmo",,"also_asks,related_search,ai_overview,snip_breadcrumbs",6,29,13,0,110,0,45.071034,78,9070,https://resumaker.pl/
"aplikacja do robienia cv",,"ai_overview,also_asks,related_search,snip_breadcrumbs",4,23,13,0,110,0,31.654859,65,13700,https://resumaker.pl/
"w jakim programie zrobić cv",,"also_asks,pic,ai_overview,snip_breadcrumbs",5,13,13,0,110,0,0.381199,63,29600,https://resumaker.pl/przykładowe-cv/projektant-programu-nauczania/
"kreator darmowego cv",,"related_search,ai_overview,also_asks,snip_breadcrumbs",3,63,13,0,110,0,0.574761,82,3240,https://resumaker.pl/
"czym zajmuje się tokarz",,"also_asks,related_search,ai_overview,snip_breadcrumbs",4,3,13,0,90,0,0,0,82,https://resumaker.pl/przykładowe-cv/tokarz/
"cv po liceum",,"also_asks,related_search,ai_overview,snip_breadcrumbs",3,9,13,0,90,0,0.1716,25,206000,"https://resumaker.pl/przykładowe-cv/uczeń liceum/"
"darmowe szablony do cv",,"related_search,pic,snip_breadcrumbs",4,43,13,0,90,0,0.384249,77,90,https://resumaker.pl/
"cv maker opinie",,"related_search,also_asks,snip_breadcrumbs",3,4,13,0,90,0,0.54,40,100,https://resumaker.pl/
"generowanie cv",,"related_search,video,also_asks,pic,snip_breadcrumbs",2,50,13,4,70,0,0.958025,82,117,https://resumaker.pl/
"praca pilot śmigłowca",,"also_asks,related_search,snip_breadcrumbs",3,5,13,0,70,0,0,3,19100,https://resumaker.pl/przykładowe-list-motywacyjny/pilot-smigłowca/
"cv księgowej przykład",,"related_search,also_asks,pic,snip_breadcrumbs",3,10,13,2,70,0,0.08048313477427,39,81,https://resumaker.pl/przykładowe-cv/ksiegowy-pierwszego-stopnia/
"online cv",,"related_search,also_asks,snip_breadcrumbs",2,49,13,0,50,0,33.127433,52,100,https://resumaker.pl/
"list motywacyjny do policji służba cywilna wzór",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs",7,8,13,0,50,0,0.090146,17,1710,https://resumaker.pl/przykładowe-list-motywacyjny/oficer-policji/
"cv magazyniera wzór",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,5,13,0,50,0,0.078817,25,90,https://resumaker.pl/przykładowe-cv/magazynier-selekcjoner/
"szablon cv pracuj pl",,"also_asks,pic,related_search,snip_breadcrumbs",4,31,13,0,50,0,0.275376,55,121,https://resumaker.pl/
"cv stworz za darmo",,"related_search,also_asks,snip_breadcrumbs",4,63,13,0,50,0,23.608876,76,56500,https://resumaker.pl/
"cv stwórz za darmo",,"also_asks,related_search,ads_bot,snip_breadcrumbs",4,42,13,0,50,0,23.676032,76,57000,https://resumaker.pl/
"cv magazynier bez doświadczenia",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs",4,8,13,3,40,0,5.231267,24,95,https://resumaker.pl/przykładowe-cv/magazynier-selekcjoner/
"cv magistra farmacji",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs",3,N/A,13,0,40,0,0.202422,50,150000,https://resumaker.pl/przykładowe-cv/dyplomowany-technik-farmaceutyczny/
"tresc listu motywacyjnego",,"pic,ai_overview,related_search,snip_breadcrumbs",3,N/A,13,0,40,0,2.52612,47,161000,https://resumaker.pl/przykładowe-list-motywacyjny/producent-tresci/
"listy motywacyjne przykłady",,"related_search,pic,also_asks,snip_breadcrumbs",3,39,13,0,40,0,0.032127,39,90,https://resumaker.pl/przykładowe-list-motywacyjny/pobierajacy/
"inaczej sprzątaczka w cv",,"ai_overview,related_search,also_asks,pic,snip_breadcrumbs",4,9,13,,40,0,0,2,107,https://resumaker.pl/przykładowe-cv/sprzątaczka-domowa/
"proste cv do pracy",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs",4,31,13,0,40,0,0.220315,72,1270000,https://resumaker.pl/
"kreator cv bez doświadczenia",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs",4,22,13,0,40,0,0.205913,50,1950000,https://resumaker.pl/
"list motywacyjny na studia artystyczne",,"ai_overview,pic,also_asks,related_search,snip_breadcrumbs",5,5,13,0,40,0,0,2,8580,https://resumaker.pl/przykładowe-list-motywacyjny/artysta/
"architekt danych",,"pic,also_asks,ai_overview,snip_breadcrumbs",2,N/A,13,0,30,0,0.16793,16,3960000,https://resumaker.pl/przykładowe-cv/database-architect/
"życiorys do szkoły średniej wzór",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs",5,8,13,0,30,0,0,0,22800,https://resumaker.pl/przykładowe-cv/drugi-nauczyciel/
"cv kucharz wzór",,"pic,also_asks,related_search,snip_breadcrumbs",3,9,13,0,30,0,0.18762,44,81,https://resumaker.pl/przykładowe-cv/kucharz-pizzy/
"pracownik centrum dystrybucji gotówki",,"related_search,also_asks,ai_overview,snip_breadcrumbs",4,N/A,13,0,30,0,0,0,14600,https://resumaker.pl/przykładowe-cv/pracownik-obsługi-magazynu/
"tworzenie cv za darmo online",,"also_asks,related_search,snip_breadcrumbs",5,48,13,0,30,0,27.306472,76,989000,https://resumaker.pl/
"przykładowe cv ucznia liceum",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs",4,18,13,0,30,0,0.129999,32,65900,"https://resumaker.pl/przykładowe-cv/uczeń liceum/"
"specjalista d s opakowań",,"also_asks,snip_breadcrumbs",4,1,13,0,30,0,0,5,523000,https://resumaker.pl/przykładowe-cv/specjalista-ds-opakowan/
"cv programisty przykład",,"also_asks,related_search,pic,snip_breadcrumbs",3,7,13,0,30,0,0.21,42,90,https://resumaker.pl/przykładowe-cv/programista-systemow/
"generatory cv",,"pic,also_asks,related_search,snip_breadcrumbs",2,49,13,0,30,0,0.45632,84,124000,https://resumaker.pl/
"inżynier chłodnictwa",,"a_box_fsnippet,also_asks,snip_breadcrumbs",2,N/A,13,0,30,0,0,1,100,https://resumaker.pl/przykładowe-cv/inzynier-chłodnictwa/
"kierownik administracji zakres obowiązków",,"related_search,also_asks,ai_overview,snip_breadcrumbs",4,2,13,0,30,0,0,0,1070000,https://resumaker.pl/przykładowe-cv/administracja-manager/
"cv dla księgowej",,"related_search,pic,snip_breadcrumbs",3,11,13,0,30,0,11.203369,59,90,https://resumaker.pl/przykładowe-cv/głowny-ksiegowy/
"paypal praca",,"also_asks,related_search,snip_breadcrumbs",2,N/A,13,0,30,0,0,8,7670000,https://resumaker.pl/
"list motywacyjny pracownik socjalny",,"related_search,pic,ai_overview,snip_breadcrumbs",4,2,13,0,30,0,0.049248,26,33100,https://resumaker.pl/przykładowe-list-motywacyjny/społeczny-pracownik-słuzby-zdrowia/
"cv kelnerka wzór",,"also_asks,related_search,pic,snip_breadcrumbs",3,13,13,-1,30,0,0.12,27,90,https://resumaker.pl/przykładowe-list-motywacyjny/kelnerka/
"podanie o pracę w przedszkolu wzór",,"also_asks,pic,related_search,snip_breadcrumbs",6,12,13,0,20,0,0,2,81,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-przedszkola/
"baza cv dla pracodawców",,"ai_overview,also_asks,related_search,snip_breadcrumbs",4,N/A,13,0,20,0,0,7,248000,https://resumaker.pl/przykładowe-cv/
"specjalista ds automatyki",,"ai_overview,also_asks,snip_breadcrumbs",3,N/A,13,0,20,0,0,3,152000,https://resumaker.pl/przykładowe-cv/specjalista-ds-automatyki/
"kreator do cv",,"also_asks,related_search,pic,snip_breadcrumbs",3,50,13,0,20,0,1.133346,93,5150000,https://resumaker.pl/
"interaktywne cv",,"pic,also_asks,ai_overview,snip_breadcrumbs",2,N/A,13,-1,20,0,0.45,66,293000,https://resumaker.pl/przykładowe-cv/projektant-interaktywny/
"gotowe szablony cv za darmo",,"also_asks,related_search,snip_breadcrumbs",5,56,13,0,20,0,0.425239,75,43000,https://resumaker.pl/
"bezpłatny cv kreator",,"related_search,also_asks,ai_overview,snip_breadcrumbs",3,N/A,13,0,20,0,1.005751,83,1060000,https://resumaker.pl/
"konsultant kosmetyczny",,"ai_overview,related_search,also_asks,pic,snip_breadcrumbs",2,1,13,0,20,0,0.067403,25,771000,https://resumaker.pl/przykładowe-cv/beauty-consultant/
"kreator życiorysu",,"related_search,also_asks,pic,snip_breadcrumbs",2,50,13,0,20,0,15.53661,76,2410000,https://resumaker.pl/
"podanie o pracę na stanowisko sprzątaczki wzór",,"also_asks,pic,related_search,a_box_fsnippet,snip_breadcrumbs,snip_image_thumbnail",7,10,13,0,20,0,0,1,81,https://resumaker.pl/przykładowe-list-motywacyjny/sprzatacz-domu/
"wzór listu motywacyjnego za darmo",,"related_search,pic,ai_overview,snip_breadcrumbs",5,15,13,0,20,0,0.170373,67,1410,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-rejestracji/
"generator cv linkedin",,"also_asks,pic,ai_overview,snip_breadcrumbs",3,6,13,,20,0,0.84,93,70,https://resumaker.pl/
"list motywacyjny do gminy",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",4,19,13,0,20,0,0.02,31,117000,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"podanie o pracę w sądzie wzór",,"also_asks,ai_overview,related_search,pic,snip_breadcrumbs",6,1,13,5,20,0,0,0,107,https://resumaker.pl/przykładowe-list-motywacyjny/reporter-sadowy/
"praca spisywanie liczników",,"ai_overview,related_search,also_asks,snip_breadcrumbs",3,N/A,13,0,20,0,0,15,23600,https://resumaker.pl/przykładowe-cv/czytnik-licznikow/
"praca w pralni na czym polega",,"also_asks,video,related_search,ai_overview,snip_breadcrumbs",6,1,13,,20,0,0,0,107,https://resumaker.pl/przykładowe-list-motywacyjny/pralnia/
"list motywacyjny do urzedu pracy",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs",5,N/A,13,,20,0,0.053019,40,108,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"cv żołnierza zawodowego",,"ai_overview,pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,8,13,0,20,0,0.259999,63,17500,https://resumaker.pl/przykładowe-cv/oficer-wojskowy/
"napisz cv pracuj pl",,"related_search,also_asks,pic,snip_breadcrumbs",4,N/A,13,0,10,0,0.229473,90,52,https://resumaker.pl/
"list motywacyjny do burmistrza",,"pic,related_search,also_asks,ai_overview,snip_breadcrumbs",4,N/A,13,0,10,0,0,9,19800,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"jak pobrac cv za darmo",,"also_asks,related_search,ai_overview,video,snip_breadcrumbs",5,44,13,0,10,0,6.8998,71,41500,https://resumaker.pl/
"wzór podania o pracę na stanowisku sprzątaczki",,"also_asks,pic,related_search,snip_breadcrumbs",7,10,13,0,10,0,0,10,95,https://resumaker.pl/przykładowe-list-motywacyjny/sprzatacz-domu/
"fizjoterapeuta cv",,"pic,also_asks,related_search,snip_breadcrumbs",2,N/A,13,0,10,0,0.06958,33,100,https://resumaker.pl/przykładowe-cv/fizjoterapeuta/
"manager recepcji",,"a_box_fsnippet,also_asks,related_search,snip_breadcrumbs",2,N/A,13,0,10,0,0,10,100,https://resumaker.pl/przykładowe-cv/front-desk-manager/
"przykładowe cv do przedszkola",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",4,9,13,0,10,0,0,17,5750,https://resumaker.pl/przykładowe-cv/doświadczony-przedszkolak-nauczyciel/
"cv dla przedstawiciela handlowego",,"related_search,also_asks,pic,snip_breadcrumbs",4,6,13,0,10,0,0,100,90,https://resumaker.pl/przykładowe-cv/przedstawiciel-klienta-sprzedaży/
"referencje dla nauczyciela wzór",,"ai_overview,pic,also_asks,related_search,snip_breadcrumbs",4,17,13,0,10,0,0,0,11800,https://resumaker.pl/przykładowe-list-motywacyjny/pomocnik-nauczyciela/
"zainteresowania sprzedawcy",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs",2,16,13,0,10,0,0,0,1210000,https://resumaker.pl/przykładowe-cv/sprzedawca-czesci/
"jak napisac podanie o prace jako sprzataczka w szkole",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs",9,10,13,0,10,0,0,0,9460,https://resumaker.pl/przykładowe-list-motywacyjny/sprzatacz-ogolny/
"pomocnik hydraulika co robi",,"related_search,a_box_fsnippet,also_asks,snip_breadcrumbs",4,3,13,0,10,0,0,0,98,https://resumaker.pl/przykładowe-cv/pomocnik-hydraulika/
"kierownik działu księgowości",,"also_asks,ai_overview,snip_breadcrumbs",3,N/A,13,0,10,0,0,13,90700,https://resumaker.pl/przykładowe-cv/kierownik-ds-rachunkowosci/
"zakres obowiązków kelnera cv",,"also_asks,pic,ai_overview,related_search,snip_breadcrumbs",4,N/A,13,0,10,0,0,29,12800,https://resumaker.pl/przykładowe-cv/pracownik-obsługi-restauracji/
"praca w sklepie miesnym",,"pic,also_asks,snip_breadcrumbs",4,1,13,0,10,0,0.022046,37,198,https://resumaker.pl/przykładowe-cv/pracownik-działu-miesnego/
"cv księgowość",,"pic,ai_overview,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_fqdn_in_aio",2,N/A,13,0,10,0,0,0,81900000,https://resumaker.pl/przykładowe-cv/księgowy-specjalista/
"kierownik ds rekrutacji",,"pic,also_asks,snip_breadcrumbs",3,0,13,0,10,0,0.026023,25,460000,https://resumaker.pl/przykładowe-cv/recruiting-manager/
"dyrektor ds technologii",,"also_asks,a_box_fsnippet,pic,snip_breadcrumbs",3,N/A,13,0,10,0,0,0,297,https://resumaker.pl/przykładowe-cv/dyrektor-ds-technologii-informacyjnych/
"cv ekspedientka",,"related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,16,13,0,10,0,0.139252,22,46400,https://resumaker.pl/przykładowe-cv/sprzedawca-czesci/
"do pracy cv",,"also_asks,related_search,video,pic,snip_breadcrumbs",3,64,13,0,10,0,0.287538,63,12200000,https://resumaker.pl/
"wzory cv pracownik biurowy",,"ai_overview,pic,related_search,snip_breadcrumbs",4,N/A,13,0,10,0,0.187811,57,19600,https://resumaker.pl/przykładowe-cv/administracja-kancelaria/
"asystent poczta polska zakres obowiązków",,"a_box_fsnippet,also_asks,pic,related_search,snip_breadcrumbs",5,1,13,0,10,0,0,0,54,https://resumaker.pl/przykładowe-cv/urzednik-pocztowy/
"recepcja salon kosmetyczny praca",,"also_asks,pic,related_search,snip_breadcrumbs",4,N/A,13,0,10,0,0,26,79,https://resumaker.pl/przykładowe-cv/salon-recepcjonista/
"cv księgowego wzór",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs",3,N/A,13,0,10,0,0,14,7860,https://resumaker.pl/przykładowe-cv/głowny-ksiegowy/
"asystent ds księgowości obowiązki",,"also_asks,pic,related_search,snip_breadcrumbs",4,N/A,13,0,10,0,0,7,56,https://resumaker.pl/przykładowe-cv/asystent-ds-księgowości/
"cv fizjoterapeuta wzór",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail",3,4,13,0,10,0,0,67,10900,https://resumaker.pl/przykładowe-cv/terapeuta-fizyczny/
"pisanie erp",,"related_search,ai_overview,also_asks,pic,snip_breadcrumbs",2,2,13,0,10,0,0,0,48800,https://resumaker.pl/przykładowe-cv/erp-analista/
"wzór cv pracownik biurowy",,"pic,related_search,also_asks,ai_overview,snip_breadcrumbs",4,9,13,0,10,0,0.220448,41,20600,https://resumaker.pl/przykładowe-cv/administracja-kancelaria/
"pracownik spa",,"also_asks,pic,ai_overview,snip_breadcrumbs",2,1,13,0,10,0,0,8,647000,https://resumaker.pl/przykładowe-cv/pracownik-spa/
"idealne cv do pracy biurowej",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs",5,N/A,13,0,10,0,0.301292,78,11400,https://resumaker.pl/przykładowe-cv/pracownik-biurowy/
"jak napisać cv pielęgniarka",,"pic,related_search,snip_breadcrumbs",4,16,13,0,10,0,0.989398,66,90,https://resumaker.pl/przykładowe-cv/pielegniarka-na-etacie/
"kreatory cv",,"also_asks,related_search,pic,snip_breadcrumbs",2,65,14,-2,27100,203,0.784438,79,90,https://resumaker.pl/
"cv za darmo",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs",3,46,14,,18100,135,0.525086,80,110,https://resumaker.pl/
"curriculum vitae maker",,"related_search,ai_overview,pic,snip_breadcrumbs",3,N/A,14,-2,14800,110,0.647603,78,134,https://resumaker.pl/
"tworzenie cv",,"also_asks,pic,related_search,snip_breadcrumbs",2,50,14,-1,1300,9,0.84821,72,90,https://resumaker.pl/
"kreator cv darmowy",,"also_asks,related_search,snip_breadcrumbs",3,50,14,-3,1000,7,0.679975,73,110,https://resumaker.pl/
"stwórz cv za darmo",,"also_asks,related_search,snip_breadcrumbs",4,44,14,0,720,5,0.567701,81,58000,https://resumaker.pl/
"darmowe cv kreator",,"also_asks,related_search,snip_breadcrumbs",3,44,14,,720,5,27.099712,80,100,https://resumaker.pl/
"zrób cv",,"related_search,pic,snip_breadcrumbs",2,50,14,0,390,2,0.778027,70,607000,https://resumaker.pl/
"kreator online cv",,"related_search,snip_breadcrumbs",3,65,14,,390,2,37.531667,62,100,https://resumaker.pl/
"cv pielegniarki",,"pic,related_search,also_asks,snip_breadcrumbs",2,16,14,,390,2,0.1718,34,90,https://resumaker.pl/przykładowe-cv/pielęgniarka-środowiskowa/
"zrob cv",,"related_search,snip_breadcrumbs",2,50,14,0,390,2,0.778027,70,10100,https://resumaker.pl/
